+COORDENADAS DE LA SILUETA — BRATTYPOLITAN EXPERIENCE
Referencia curada V2: mujer constelación. Coordenadas normalizadas 0–1.
FORMATO: ID | X_norm | Y_norm | brillo_0_255 | grupo | tamano
GRUPOS: cabello, rostro, facciones, cuerpo.
Nota: sólo se incluyen conexiones detectadas de los trazos; los puntos aislados conservan aire y detalle.

PUNTOS
0200 | 0.380000 | 0.200938 | 123 | cabello | 2.6
0201 | 0.637333 | 0.279906 | 114 | rostro | 2.5
0202 | 0.552000 | 0.336982 | 119 | rostro | 2.5
0203 | 0.713333 | 0.261142 | 108 | cabello | 2.4
0204 | 0.678667 | 0.591087 | 94 | rostro | 2.2
0205 | 0.554667 | 0.663800 | 101 | cuerpo | 2.3
0206 | 0.682667 | 0.527756 | 94 | rostro | 2.2
0207 | 0.653333 | 0.554339 | 104 | rostro | 2.3
0208 | 0.652000 | 0.634871 | 94 | cuerpo | 2.2
0209 | 0.702667 | 0.250196 | 100 | cabello | 2.3
0210 | 0.302667 | 0.551212 | 114 | rostro | 2.5
0211 | 0.274667 | 0.575450 | 102 | cabello | 2.3
0212 | 0.596000 | 0.683346 | 100 | cuerpo | 2.3
0213 | 0.692000 | 0.602815 | 100 | rostro | 2.3
0214 | 0.488000 | 0.298671 | 89 | rostro | 2.2
0215 | 0.756000 | 0.681001 | 93 | cabello | 2.2
0216 | 0.709333 | 0.597342 | 93 | cabello | 2.2
0217 | 0.297333 | 0.602815 | 97 | rostro | 2.3
0218 | 0.298667 | 0.257232 | 84 | cabello | 2.1
0219 | 0.437333 | 0.419859 | 91 | facciones | 2.2
0220 | 0.550667 | 0.440188 | 97 | facciones | 2.3
0221 | 0.898667 | 0.648945 | 86 | cabello | 2.1
0222 | 0.661333 | 0.722439 | 91 | cuerpo | 2.2
0223 | 0.606667 | 0.655199 | 94 | cuerpo | 2.2
0224 | 0.904000 | 0.699765 | 96 | cabello | 2.3
0225 | 0.605333 | 0.193120 | 114 | cabello | 2.5
0226 | 0.514667 | 0.231431 | 96 | cabello | 2.3
0227 | 0.588000 | 0.189210 | 88 | cabello | 2.2
0228 | 0.766667 | 0.309617 | 97 | cabello | 2.3
0229 | 0.489333 | 0.469116 | 95 | facciones | 2.2
0230 | 0.350667 | 0.415950 | 117 | facciones | 2.5
0231 | 0.645333 | 0.300235 | 74 | rostro | 2.0
0232 | 0.556000 | 0.394058 | 83 | facciones | 2.1
0233 | 0.276000 | 0.514464 | 86 | cabello | 2.1
0234 | 0.529333 | 0.691165 | 83 | cuerpo | 2.1
0235 | 0.361333 | 0.209539 | 90 | cabello | 2.2
